Comment,Designator,Footprint,LCSC
MountingHole,H2,MountingHole_3.2mm_M3,
DNF,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
VCC,TP5,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,
TestPoint,TP1,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,
GND,TP7,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,
MountingHole,H1,MountingHole_3.2mm_M3,
DNF,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
MountingHole,H4,MountingHole_3.2mm_M3,
DNF,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
~,U1,3x3conn,
DNF,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
TestPoint,TP4,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,
VCC,TP6,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,
TestPoint,TP3,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,
DNF,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
GND,TP8,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,
DNF,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
MountingHole,H3,MountingHole_3.2mm_M3,
TestPoint,TP2,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,
DNF,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
DNF,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
